loss,mae,val_loss,val_mae,lr
11201562.0,2740.482666015625,9880309.0,2364.4091796875,0.001
3811662.5,1293.174072265625,2652263.0,963.4992065429688,0.001
1355032.375,719.0098876953125,1288517.0,610.3448486328125,0.001
866847.625,595.7078247070312,815281.5625,521.2742919921875,0.001
686117.5625,538.74951171875,628357.9375,478.72137451171875,0.001
616658.6875,523.3480834960938,567173.9375,454.505615234375,0.001
560016.625,500.7021484375,490019.5625,420.2953796386719,0.001
548758.25,487.568359375,486881.59375,424.65655517578125,0.001
513901.65625,475.8268737792969,457332.9375,410.97412109375,0.001
487916.0,467.29034423828125,421389.84375,401.7470703125,0.001
473109.8125,462.9970397949219,461626.09375,413.72747802734375,0.001
465913.53125,457.2924499511719,449184.875,406.56866455078125,0.001
464993.09375,454.0975036621094,435887.84375,402.95159912109375,0.001
448326.4375,445.4497985839844,426907.53125,396.19293212890625,0.001
439330.9375,444.05157470703125,418629.9375,400.0123596191406,0.001
423564.53125,437.8551940917969,420973.15625,398.4640808105469,0.001
412286.21875,429.0357360839844,443424.96875,414.2097473144531,0.001
406628.5625,429.22650146484375,412319.25,393.46746826171875,0.001
398637.3125,425.232666015625,444722.71875,408.2633056640625,0.001
369964.125,412.363525390625,398974.3125,389.5732116699219,0.001
372808.15625,412.9836120605469,417581.96875,394.78765869140625,0.001
373283.1875,415.4739074707031,423941.5625,399.11492919921875,0.001
368951.65625,412.37890625,432118.84375,405.653564453125,0.001
358829.125,404.053955078125,434256.71875,408.9932556152344,0.001
359227.15625,404.86822509765625,414369.53125,399.14288330078125,0.001
329317.28125,389.70989990234375,417853.3125,394.308349609375,0.0005
316586.9375,385.3577575683594,412519.84375,392.107177734375,0.0005
310555.625,381.6873474121094,418208.59375,391.0453796386719,0.0005
308245.875,378.708984375,430724.78125,396.6394958496094,0.0005
316202.0,379.0464172363281,427731.375,394.230224609375,0.0005
310685.09375,380.55023193359375,421795.03125,392.0439758300781,0.00025
289909.03125,369.8102722167969,427809.65625,395.2411193847656,0.00025
297860.90625,373.7236022949219,427658.5,396.134521484375,0.00025
293370.5,367.2809143066406,423924.9375,389.139404296875,0.00025
283398.53125,367.80450439453125,425512.40625,394.6310119628906,0.00025
