feature,importance
footfall_rolling_7,0.2761792948519524
footfall_lag_1,0.19770427566722656
footfall_lag_7,0.13049458626950114
footfall_rolling_30,0.07996517523204878
month_cos,0.04421215862183053
is_festival,0.03937714711645227
season_Summer,0.03463237553959836
season_Winter,0.02721179039281191
city_encoded,0.025189954884420548
temp_max,0.02260142594385767
footfall_lag_30,0.01849757141650255
temp_avg,0.01543493467475084
day,0.0140270678912028
humidity,0.010890049919039949
temp_min,0.010183058380295753
month,0.009148011599387757
month_sin,0.008200985465655392
day_of_week,0.007301676132831824
dow_sin,0.006793782576114783
is_weekend,0.005951827964162141
season_Monsoon,0.00423369306632888
year,0.002835367156322107
pressure,0.002367859783526211
wind_speed,0.0022655931643057823
temp_range,0.0022266913920980552
dow_cos,0.0014347835554237491
weather_Clouds,0.0002952820033534528
weather_Clear,0.0002907488618209621
weather_Rain,5.2830477176590044e-05
